14	杜夫萊茵股份有限公司(高雄實驗室)	806高雄市前鎮區南七路3號3樓	(07)831-7000 轉111	http://www.aimex.tw/index02.asp#	103.03.12	防腐劑、抗氧化劑、硼酸及其鹽類、過氧化氫、甜味劑、氯黴素類、硝基夫喃代謝物、三聚氰胺、金黃色葡萄球菌、包裝飲用水中綠膿桿菌、糞便性鏈球菌、大腸桿菌群、孔雀綠及其代謝物、生菌數、大腸桿菌、大腸桿菌群、沙門氏桿菌、黴菌及酵母菌、水分、粗灰分、粗蛋白、順丁烯二酸	衛生福利部103年03月12日部授食字第1031101062號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28947&chk=965d35ba-ac46-4270-bed2-69ac75e0b5b6		
15	上準環境科技股份有限公司(食品衛生實驗室)	40768台中市西屯區工業區三十六路41號	(04) 2358-2525	http://www.sundream.com.tw/	103.10.08	硝基呋喃代謝物、四環黴素類、孔雀綠及其代謝物、三聚氰胺、油脂中重金屬(砷、鉛、銅、汞)、包裝飲用水中重金屬(砷、鉛、鎘、銅、鋅、汞)、水產動物類重金屬(鉛、鎘)、過氧化氫(食品)、過氧化氫(免洗筷)、硼酸及其鹽類、順丁烯二酸、動物用藥-多重殘留分析(二)、鄰苯二甲酸酯類	衛生福利部103年10月08日部授食字第1031104134B號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32046&chk=1d5c42a0-5051-4680-9117-8368cd2d5d59	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5922&chk=176858c8-59cd-4892-9955-71a372fbd0f0	
16	台灣檢驗科技股份有限公司(食品實驗室-高雄)	81170高雄市楠梓加工出口區開發路61號	(07) 301-2121	http://www.tw.sgs.com/zh_tw/home_tw_v2?	103.08.04	生菌數、大腸桿菌群、糞便性鏈球菌、綠膿桿菌、腸炎弧菌、仙人掌桿菌、病原性大腸桿菌、大腸桿菌、黴菌及酵母菌、乳品中李斯特菌、單核球增多性李斯特菌、阪崎腸桿菌、金黃色葡萄球菌、沙門氏桿菌、水分、粗灰分、粗脂肪、粗蛋白、酸價、總極性物質、膳食纖維、糖類(葡萄糖、果糖、蔗糖、麥芽糖、乳糖)、氯黴素類、硝基喃代謝物、孔雀綠及其代謝物、防腐劑、丙酸、動物性成分-定性篩選、動物性成分-豬、羊、雞、牛、食品中植物性成分-蔥、洋蔥、韭菜、蒜、蕎、乙型受體素類、四環黴素類、動物用藥-多重殘留分析(二)、防腐劑、色素、礦物質(鈣、銅、鐵、鎂、錳、磷、鉀、鈉、鋅)、水產動物類重金屬(鉛、鎘)、食用油脂重金屬(砷、鉛、銅、汞)、硼酸及其鹽類、水分含量(蜂蜜)、水不溶物含量(蜂蜜)、澱粉酶活性(蜂蜜)、羥甲基糠醛(蜂蜜)、維生素A、C、咖啡因、酸度、塑化劑、甜味劑、乳酸菌、維生素D、順丁烯二酸、組織胺、揮發性鹽基態氮、膽固醇、動物性成分-金絲燕、鹿	衛生福利部103年08月04日部授食字第1031103793號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30821&chk=a1d3c1a5-1ef4-451e-9326-48404807a64e		
17	喬志亞生技股份有限公司(生物測試實驗室)	84043 高雄市大樹區竹寮里竹寮路308號	(07) 651-7471	http://www.jojia.com/	103.03.12	包裝飲用水中大腸桿菌群、糞便性鏈球菌及綠膿桿菌	衛生福利部103年3月12日部授食字第1031100226號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28945&chk=67590e22-3f9f-47fc-9437-fffe6c796ad0	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18677&chk=e0305597-e227-423b-b3de-1727b6b87c77	
18	昭信標準檢驗股份有限公司(藥物化學檢測實驗室)	24355新北市泰山區明志路3段517號6樓	(02) 2906-4369	http://www.theosin.com.tw/theosin/index2.php	103.05.01	水分、灰分、魚油中EPA、DHA、Monacolin K	衛生福利部103年05月01日部授食字第1031102039號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29573&chk=5f6514ed-7a26-4fa5-827d-6a4d4fc11ec6	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18678&chk=0d343e13-559a-4067-b053-c77e0447ea99	
20	愛之味股份有限公司(健康科學研究所檢驗分析中心)	62152嘉義縣民雄鄉頭橋工業二路11號	(05) 221-1521	http://agvcn.cn.alibaba.com/	103.01.17	水分、粗蛋白、粗灰分、礦物質(鋅、銅、鐵、鈉、鈣)、粗脂肪、過氧化氫、膳食纖維、防腐劑、生菌數、大腸桿菌群、大腸桿菌、順丁烯二酸、食用菇類重金屬(鉛、鎘)	衛生福利部食品藥物管理署103年01月17日FDA風字第1031100194號			
21	國立成功大學-永續環境實驗所(藥物毒物分析實驗室)	709台南市安南區安明路三段500號	(06) 384-0136	http://serc.ncku.edu.tw/index.php?lang=cht	103.01.22	殘留農藥(四)	衛生福利部食品藥物管理署103年01月22日FDA風字第1031100285號			
22	台灣區鰻蝦輸出業同業公會(水產品檢驗中心)	33757桃園縣大園鄉圳頭村6鄰30號	(03) 385-4645	http://www.apic.org.tw/	103.10.13	孔雀綠及其代謝物、硝基呋喃代謝物	衛生福利部103年10月13日部授食字第1031104974B號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32047&chk=1fffaf2c-229c-41c5-8ac3-7223aeba827e	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=21646&chk=3d2b651b-e84c-4ff6-81c3-2d6c9b822bb6	
23	統一企業股份有限公司(永康品管課)	71001台南市永康區中正路301號	(06) 253-6789	http://www.uni-president.com.tw/	102.01.02	生菌數、大腸桿菌、大腸桿菌群、仙人掌桿菌、金黃色葡萄球菌	行政院衛生署102年01月02日署授食字第1011103293號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=22226&chk=b7fdb167-7169-4406-94bc-a151690bee75	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=22289&chk=f03087e5-eb94-4c5a-9599-40a98e5c2c73	
24	財團法人中華穀類食品工業技術研究所(化驗組實驗室)	24937新北市八里區下罟子十二之六號	(02) 2610-1010	http://www.cgprdi.org.tw/	103.03.12	濕麵筋、黃麴毒素、硼酸及其鹽類、丙酸、防腐劑、木糖醇、赭麴毒素A、水分、粗灰分、順丁烯二酸	衛生福利部103年03月12日部授食字第1031101063號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28948&chk=5dcda9c6-c40c-4667-ab4c-5607a97cfd76	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5728&chk=e1be81f1-4cf2-417c-8eb5-ee586a1186c1	
25	正修科技大學超微量研究科技中心(環境檢驗實驗室)	833高雄市鳥松區澄清路840號	(07) 731-0606	http://www2.csu.edu.tw/csitshow/micro/index-1.htm	102.05.08	戴奧辛及多氯聯苯(肉類、乳品類、蛋類、魚貝類、油脂類)	行政院衛生署102年05月08日署授食字第1021101361號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=23692&chk=8372524d-ff8b-4e68-a6b9-96e42972f45a	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5923&chk=1f7a81a9-3827-44d6-9448-99c80a9e2514	
26	弘光科技大學(食品與化妝品品質檢驗與分析中心)	433台中市沙鹿區中棲路34號	(04) 2631-8652	http://web.hk.edu.tw/~tacfc/index.files/options_basic_7.html	102.08.22	食品中動物性成分-定性篩選、食品中動物性成分之定性(雞、牛、羊、魚、豬)、食品中植物性成分之定性(洋蔥、韭、蕎、蔥、蒜)、硼酸及其鹽類、諾羅病毒、沙波病毒、A型肝炎病毒	衛生福利部食品藥物管理署102年08月22日FDA風字第1021150243號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=25040&chk=96cddedb-0766-4122-b0fc-9dc640e03aa0	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5924&chk=ebd62c95-94d0-4394-9f71-fb8c82c79992	
27	華友科技顧問股份有限公司(藥物食品化粧品檢驗實驗室)	24255新北市新莊區中正路610號2F	(02) 2906-0887	http://www.hwayo.com.tw/	103.06.26	防腐劑、順丁烯二酸	衛生福利部103年06月26日部授食字第1031103045號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30379&chk=de05e21f-db45-49df-ba82-8e7918ed704f	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=1796&chk=d6b3e304-021a-42f6-9fdc-658f6f4f3de7	
29	台灣檢驗科技股份有限公司(化學實驗室-台北)	24886新北市新北產業園區五權路33號	(02) 2299-3279 	http://www.tw.sgs.com/zh_tw/home_tw_v2 	103.06.27	礦物質(鈉)、材質試驗(鉛、鎘)、溶出試驗(鉛、鎘)、雙酚A、溶出試驗(高錳酸鉀消耗量)、溶出試驗(甲基丙烯酸甲酯單體)、溶出試驗(甲醛)、材質試驗(2-巯基咪唑啉)、溶出試驗(蒸發殘渣)、溶出試驗(氯乙烯單體)、溶出試驗(己內醯胺單體)、溶出試驗(氯仿可溶物)、溶出試驗(酚)、溶出試驗(以Pb計)、溶出試驗(砷)、溶出試驗(鋅)、砷之檢驗(以As計)、溶出試驗(銻、鍺)、材質試驗(鋇)、材質鑑別、材質試驗(螢光增白劑-遷移性螢光物質試驗)、耐熱性試驗、溶出試驗(三聚氰胺)、溶出試驗(總乳酸)、溶出試驗(著色劑)、材質試驗(氯乙烯單體)、材質試驗(二丁錫化物)、材質試驗(甲酚磷酸酯)、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、材質試驗(偏二氯乙烯單體)、溶出試驗(氯甲代環氧丙烷單體)、溶出試驗(氯乙烯單體)、溶出試驗(BBP、DEHA、DINP、DIDP)	衛生福利部103年06月27日部授食字第1031103054號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30375&chk=2ab0a1ab-b6ff-44b5-8a6d-2a8fade5e7a0	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5729&chk=4ceb52c2-b180-4f3b-b15c-8bd710fdcde7	
31	統一企業股份有限公司(新市品管課)	74443台南市新市區大營里7號	(06) 599-1511	http://www.uni-president.com.tw/ 	102.11.22	生菌數、大腸桿菌、大腸桿菌群、乳酸菌	衛生福利部食品藥物管理署102年11月22日部授食字第10211511398號		http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18100&chk=254a0467-c00d-47d1-81c9-3250ea5a2f3d	
32	美和科技大學(農水產品檢驗服務中心)	91202屏東縣內埔鄉美和村屏光路23號	(08) 779-9821	http://203.71.232.55/meihobt/main.htm	103.06.30	著色劑、甜味劑、孔雀綠及其代謝物、甲基汞、棒麴毒素、黃麴毒素、橘黴素、丙酸、三聚氰胺、三聚氰酸、四環黴素類、亞硝酸鹽、過氧化氫、二氧化硫(食品)、甲醛、氯黴素類、赭麴毒素A、乙型受體素類、防腐劑、硝基呋喃代謝物	衛生福利部103年06月30日部授食字第1031102052號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30374&chk=8b43e4e4-1c07-4ce1-ae9f-908cd3562408	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30388&chk=4c0ca39e-fcc8-429b-a4b8-0f9aa7d19de2	
33	台灣檢驗科技股份有限公司(食品實驗室-台中)	40755台中市台中工業區14路9號	(04) 2359-1515	http://www.tw.sgs.com/zh_tw/home_tw_v2?	103.05.05	生菌數、大腸桿菌、大腸桿菌群、水分、灰分、粗脂肪、粗蛋白、防腐劑、順丁烯二酸	衛生福利部食品藥物管理署103年05月05日部授食字第1031102048號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29644&chk=8ea2468b-257c-4200-ab52-ed7837f530ff	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5179&chk=fe470d6d-6356-4bd4-b4d3-a143839084f9	
34	國立屏東科技大學(農水產品檢驗與驗證中心)	91201屏東縣內埔鄉學府路1號	(08) 774-0219	http://www.caapic.npust.edu.tw/Index/news.asp	103.05.01	水分、粗灰分、粗脂肪、粗蛋白、生菌數、大腸桿菌、硝基呋喃代謝物、孔雀綠及其代謝物、氯黴素類、三聚氰胺、殘留農藥-(二)、(四)、四環黴素類、順丁烯二酸、大腸桿菌群	衛生福利部103年05月01日部授食字第1031102045號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29575&chk=b3cd2501-0796-49ec-ad24-98c0e64a3bbf	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5972&chk=606a258f-726a-403a-812f-39f64df2bde1	
35	義美食品股份有限公司(義美食品股份有限公司實驗室)	33855桃園縣蘆竹鄉南工路一段11號	(03) 322-2406	http://www.imeifoods.com.tw/	103.10.13	水分、粗灰分、粗蛋白、乳脂肪、三聚氰胺、二氧化硫(食品)、丙酸、防腐劑、生菌數、大腸桿菌群、大腸桿菌、硼酸及其鹽類、乳酸菌、食品中脂肪酸、乙型受體素類、塑化劑、順丁烯二酸	衛生福利部103年10月13日部授食字第1031104988B號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32048&chk=f0100eb9-8fc6-4832-9b61-3dc885bc6e36	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18118&chk=f8335662-4082-412d-875b-b5a91e79e1f5	
37	宜蘭縣政府衛生局(檢驗科實驗室)	26051 宜蘭縣宜蘭市女中路二段287號	(039) 322-634	http://www.ilshb.gov.tw/	103.01.24	大腸桿菌、二氧化硫(食品)、防腐劑、生菌數、大腸桿菌群、硼酸及其鹽類、過氧化氫、殘留農藥-(三)、甜味劑	衛生福利部食品藥物管理署 103年01月24日FDA風字第1031100320號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28110&chk=7c03c34f-277d-4b43-80bb-1747a079623b	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28115&chk=7da8375f-9f4b-4bcc-a9e2-da4a736f45ba	
38	新竹縣政府衛生局(檢驗科實驗室)	30295 新竹縣竹北市光明七街1號	(035)518-160 	http://www.hcshb.gov.tw/index.jsp	103.01.14	丙酸、生菌數、大腸桿菌、大腸桿菌群	衛生福利部食品藥物管理署 103年01月14日FDA風字第1031100089號			
39	台東縣衛生局(食品藥政及檢驗科實驗室)	95049台東縣台東市博愛路336號	(089) 323-370	http://www.ttshb.gov.tw/	102.12.27	過氧化氫、甲醛、抗氧化劑	衛生福利部食品藥物管理署102年12月27日FDA風字第1021151885號			
40	嘉義縣衛生局(檢驗科實驗室)	61249嘉義縣太保市祥和二路東段3號	(05) 3620-609	http://www.cyshb.gov.tw/main.asp	103.01.24	硼酸及其鹽類、過氧化氫(食品)、亞硝酸鹽、防腐劑、包裝飲用水中重金屬(銅、鋅、砷、鉛、鎘、汞)	衛生福利部食品藥物管理署 103年01月24日FDA風字第1031100321號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28111&chk=2b3a3dc7-8adc-4552-b16c-554bf5e34780	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28116&chk=1c130ab0-0cd5-42f0-a1bf-0f6713ba4000	
41	花蓮縣衛生局(檢驗科實驗室)	97058花蓮縣新興路200號	(038) 237-138	http://www.hlshb.gov.tw/	102.12.27	亞硝酸鹽、二氧化硫(食品)	衛生福利部食品藥物管理署102年12月27日FDA風字第1021151899號		http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=27703&chk=b3e9a83d-7418-4d6f-bfec-2cb975de9a92	
42	彰化縣衛生局(檢驗科實驗室)	50049 彰化市中山路2段162號	(04) 711-5141	http://www.chshb.gov.tw/	102.12.27	硼酸及其鹽類、咖啡因、過氧化氫、甜味劑、著色劑、二氧化硫(食品)、維生素E、防腐劑	衛生福利部食品藥物管理署102年12月27日FDA風字第1021151900號		http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=27704&chk=43add57e-4542-46fe-a623-6ca9ae6ba472	
43	嘉義市政府衛生局(檢驗科實驗室)	60097 嘉義市西區德明路1號	(05) 233-8066	http://www.cichb.gov.tw/news/index.asp?flag-script=A	102.12.27	亞硝酸鹽、過氧化氫、殘留農藥(四)、防腐劑、硼酸及其鹽類	衛生福利部食品藥物管理署102年12月27日FDA風字第1021151898號			
45	詮昕科技股份有限公司(詮昕科技股份有限公司實驗室)	43449台中市龍井區遠東街60號1樓	(04) 2633-8389		103.08.04	黃麴毒素、防腐劑、二氧化硫(食品)、過氧化氫、著色劑、橘黴素、順丁烯二酸	衛生福利部103年08月04日部授食字第1031103786號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30820&chk=1855700c-6089-4132-9f96-8d0529343467	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5802&chk=a4e8681f-9ffa-4e61-a705-933a7314a65f	
46	永信藥品工業股份有限公司(檢驗實驗室)	43769台中市大甲區日南里工九路27號	(04) 2681-5181	http://www.ysp.com.tw/ysp/index.aspx	103.06.03	生菌數、大腸桿菌、大腸桿菌群、黴菌及酵母菌、阪崎腸桿菌	衛生福利部103年06月03日部授食字第1031102585號	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30083&chk=e2ae718b-0c79-4b9f-9b18-d97e17e61c7f	http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5803&chk=470eb9c4-468f-4ccf-a43e-ea1927835bd2	
